Title,Title_no_stopwords
Doman Building Materials Group Ltd. Announces Second Quarter 2024 Financial Results,Doman Building Materials Group Ltd. Announces Second Quarter 2024 Financial Results
Future building materials,Future building materials
Turkmenistan's Akgaýa enterprise cranks out massive quantity of construction supplies,Turkmenistan's Akgaýa enterprise cranks massive quantity construction supplies
How Soaring Prices for Building Materials Impact Housing,Soaring Prices Building Materials Impact Housing
Sustainable Construction Technologies: Advancements in Eco-Friendly Building Materials and Practices,Sustainable Construction Technologies: Advancements Eco-Friendly Building Materials Practices
5 new building materials that could revolutionize the construction industry,5 new building materials could revolutionize construction industry
Building Materials and Structures,Building Materials Structures
Material Costs,Material Costs
Material Innovation: High-Performance Building Materials for the Future,Material Innovation: High-Performance Building Materials Future
McKinsey Sustainable Materials Hub Driving Decarbonisation,McKinsey Sustainable Materials Hub Driving Decarbonisation
Advancing Low-Carbon Building Materials for Construction,Advancing Low-Carbon Building Materials Construction
"Aurora man accused of stealing $150,000 worth of supplies, equipment from Superior construction site","Aurora man accused stealing $150,000 worth supplies, equipment Superior construction site"
Editorial: Sustainable fiber reinforced cementitious composites for construction and building materials,Editorial: Sustainable fiber reinforced cementitious composites construction building materials
Building supplies firm SIG cuts profit outlook amid lull in construction work,Building supplies firm SIG cuts profit outlook amid lull construction work
BYD Plant Ready for Construction: First Cargo of Building Materials Arrives,BYD Plant Ready Construction: First Cargo Building Materials Arrives
Marine Biobased Building Materials,Marine Biobased Building Materials
How this tech platform is aiming to be 'Skyscanner' of building materials,tech platform aiming 'Skyscanner' building materials
Analyzing the Lifecycle of Sustainable Building Materials,Analyzing Lifecycle Sustainable Building Materials
Prices of building materials hit slowest growth in five years,Prices building materials hit slowest growth five years
Atlanta firm acquires construction products business Dayton Superior,Atlanta firm acquires construction products business Dayton Superior
Infra.Market raises $50 million from existing investor MARS Unicorn Fund,Infra.Market raises $50 million existing investor MARS Unicorn Fund
Demand for building materials expected to rise amid UAE construction boom,Demand building materials expected rise amid UAE construction boom
"Green Building Materials Market Size to Worth USD 1,352.12 Bn by 2033","Green Building Materials Market Size Worth USD 1,352.12 Bn 2033"
Top Sustainable Construction Materials to Build a Better Future,Top Sustainable Construction Materials Build Better Future
Recycling drinking water treatment sludge in construction and building materials: A review,Recycling drinking water treatment sludge construction building materials: review
Construction materials sales dip stretches towards two years,Construction materials sales dip stretches towards two years
Global $580 Billion Green Building Materials Market,Global $580 Billion Green Building Materials Market
Contractor ordered to pay for 13-year-old construction supplies,Contractor ordered pay 13-year-old construction supplies
Mixed price changes for building materials in April,Mixed price changes building materials April
Seventh quarterly fall for heavy building materials,Seventh quarterly fall heavy building materials
Engineering low-carbon building materials,Engineering low-carbon building materials
Japan’s Strategic Role in the Booming Global Green Building Materials Market to 2032,Japan’s Strategic Role Booming Global Green Building Materials Market 2032
Yorkshire business excellence celebrated in The King’s Awards for Enterprise,Yorkshire business excellence celebrated King’s Awards Enterprise
Viglacera showcases green building materials at Coverings 2025 in US,Viglacera showcases green building materials Coverings 2025 US
Provincial Economic Forecast,Provincial Economic Forecast
Eight key aspects to know about the EU Ecodesign for Sustainable Products Regulation,Eight key aspects know EU Ecodesign Sustainable Products Regulation
Trump's tariff threats pose tricky questions for architects,Trump's tariff threats pose tricky questions architects
76 Egyptian companies participate in Big 5 Riyadh to boost building materials exports,76 Egyptian companies participate Big 5 Riyadh boost building materials exports
How Donald Trump’s new trade tariffs could end up hurting Australia,Donald Trump’s new trade tariffs could end hurting Australia
Sustainable architecture: 46 innovative and inspiring building designs,Sustainable architecture: 46 innovative inspiring building designs
Will the US Lumber Market Thrive or Break Under Trump?,US Lumber Market Thrive Break Trump?
"A sustainable, circular economy could counter Trump’s tariffs while strengthening international trade","sustainable, circular economy could counter Trump’s tariffs strengthening international trade"
MENA’s Emergence as a Hub for Renewable Energy Supply Chains,MENA’s Emergence Hub Renewable Energy Supply Chains
Renewable Energy and Morocco’s New Green Industries: How Morocco’s Green Energy Ecosystem Can Expand Women and Youth Employment Through Sustainable Development,Renewable Energy Morocco’s New Green Industries: Morocco’s Green Energy Ecosystem Expand Women Youth Employment Sustainable Development
SDIM: India's green hydrogen-fuelled industrial clusters,SDIM: India's green hydrogen-fuelled industrial clusters
Innovations in recycled construction materials: paving the way towards sustainable road infrastructure,Innovations recycled construction materials: paving way towards sustainable road infrastructure
Could lava be used as a sustainable building material in the future?,Could lava used sustainable building material future?
Building Better with Data: The Role of Material Libraries in Sustainable Architecture,Building Better Data: Role Material Libraries Sustainable Architecture
Our technology makes high-quality and sustainable steel tubes that are foundation of modern infrastructure,technology makes high-quality sustainable steel tubes foundation modern infrastructure
Building more diverse and resilient economies,Building diverse resilient economies
Why Liquefied Natural Gas Expansion in Canada Is Not Worth the Risk,Liquefied Natural Gas Expansion Canada Worth Risk
How Green Building Regulations Are Shaking Up the French Construction Industry,Green Building Regulations Shaking French Construction Industry
"After the Pause: Understanding the Economic, Environmental, and Geopolitical Implications of Increased US Liquefied Natural Gas Exports","Pause: Understanding Economic, Environmental, Geopolitical Implications Increased US Liquefied Natural Gas Exports"
(PDF) Barriers to implementation of sustainable construction in India,(PDF) Barriers implementation sustainable construction India
China’s green steel push could crush Australia’s dirty iron ore exports,China’s green steel push could crush Australia’s dirty iron ore exports
New report reveals Australia’s material use and circular rate,New report reveals Australia’s material use circular rate
A different high-growth story: The unique challenges of climate tech,different high-growth story: unique challenges climate tech
Green hydrogen in Africa: A continent of possibilities?,Green hydrogen Africa: continent possibilities?
The green transition and geopolitical tensions,green transition geopolitical tensions
Key trends shaping India's US$45b building products market | EY - India,Key trends shaping India's US$45b building products market | EY - India
Cementing your lead: The cement industry in the net-zero transition,Cementing lead: cement industry net-zero transition
About ecologiQ,ecologiQ
Resource realism: The geopolitics of critical mineral supply chains,Resource realism: geopolitics critical mineral supply chains
Why green construction is needed to affordably increase housing supply,green construction needed affordably increase housing supply
Building a Net-Zero World: How U.S. Finance Can Strengthen Clean Energy Manufacturing Abroad,Building Net-Zero World: U.S. Finance Strengthen Clean Energy Manufacturing Abroad
Global impact of the EU’s anti-deforestation law,Global impact EU’s anti-deforestation law
The Green Economy Represents an Opportunity to Supercharge New Zealand,Green Economy Represents Opportunity Supercharge New Zealand
Renewable relations: A strategic approach to European energy cooperation with the Gulf states,Renewable relations: strategic approach European energy cooperation Gulf states
"Eco-friendly construction materials and health benefits in the design of an all-inclusive health resorts, Nigeria","Eco-friendly construction materials health benefits design all-inclusive health resorts, Nigeria"
Editorial: Sustainable and eco-friendly building materials,Editorial: Sustainable eco-friendly building materials
Hemp’s versatility and sustainability offer huge opportunities for developing countries,Hemp’s versatility sustainability offer huge opportunities developing countries
A Notorious Invasive Plant Shows Promise in Green Construction,Notorious Invasive Plant Shows Promise Green Construction
A Building Material That Consumes CO2 Has Finally Come to the US,Building Material Consumes CO2 Finally Come US
The green hidden gem – Brazil’s opportunity to become a sustainability powerhouse,green hidden gem – Brazil’s opportunity become sustainability powerhouse
Capturing the green-premium value from sustainable materials,Capturing green-premium value sustainable materials
Green Growth: Capturing Asia’s $5 trillion green business opportunity,Green Growth: Capturing Asia’s $5 trillion green business opportunity
Building resilience: the impact of the circular economy on global trade and supply chains,Building resilience: impact circular economy global trade supply chains
The Sustainable City in Dubai: from dream to reality,Sustainable City Dubai: dream reality
Construction Waste and the Environment Act 2021,Construction Waste Environment Act 2021
"Morocco’s New Challenges as a Gatekeeper of the World’s Food Supply: The Geopolitics, Economics, and Sustainability of OCP’s Global Fertilizer Exports","Morocco’s New Challenges Gatekeeper World’s Food Supply: Geopolitics, Economics, Sustainability OCP’s Global Fertilizer Exports"
What Does the European Green Deal Mean for Africa?,European Green Deal Mean Africa?
"Sand, gravel, and UN Sustainable Development Goals: Conflicts, synergies, and pathways forward","Sand, gravel, UN Sustainable Development Goals: Conflicts, synergies, pathways forward"
Government bodies vehemently defend the move of exporting construction materials. Not many believe it,Government bodies vehemently defend move exporting construction materials. many believe
"Environmentalists warn plan to export stones, pebbles and sand can spell ecological disaster","Environmentalists warn plan export stones, pebbles sand spell ecological disaster"
Sustainability of the global sand system in the Anthropocene,Sustainability global sand system Anthropocene
From soft fabrics to solid walls: FabBRICK reinvents construction materials with recycled textile waste,soft fabrics solid walls: FabBRICK reinvents construction materials recycled textile waste
Green hydrogen economy - predicted development of tomorrow,Green hydrogen economy - predicted development tomorrow
The environmental footprint of China-Africa engagement: An analysis of the effect of China – Africa partnership on carbon emissions,environmental footprint China-Africa engagement: analysis effect China – Africa partnership carbon emissions
Turkmen Manufacturer of Construction Materials Starts Exporting Its Products,Turkmen Manufacturer Construction Materials Starts Exporting Products
"Air Products, ACWA Power and NEOM Sign Agreement for $5 Billion Production Facility in NEOM Powered by Renewable Energy for Production and Export of Green Hydrogen to Global Markets","Air Products, ACWA Power NEOM Sign Agreement $5 Billion Production Facility NEOM Powered Renewable Energy Production Export Green Hydrogen Global Markets"
The Environmental Consequences Concerning the Use of Timber in the Built Environment,Environmental Consequences Concerning Use Timber Built Environment
Biorefining Waste Sludge From Water and Sewage Treatment Plants Into Eco-Construction Material,Biorefining Waste Sludge Water Sewage Treatment Plants Eco-Construction Material
Physical imports and exports - Statistics Explained - Eurostat,Physical imports exports - Statistics Explained - Eurostat
Bamboo taking root in Africa | Africa Renewal,Bamboo taking root Africa | Africa Renewal
Construction Sector Deal,Construction Sector Deal
Wood Construction and Wood Products,Wood Construction Wood Products
Australia and the Global Economy – The Terms of Trade Boom | Explainer | Education,Australia Global Economy – Terms Trade Boom | Explainer | Education
PRIME MINISTER'S EXPORT AWARD 2017,PRIME MINISTER'S EXPORT AWARD 2017
(PDF) Towards the implementation of the Green Building concept in agricultural buildings: A literature review,(PDF) Towards implementation Green Building concept agricultural buildings: literature review
Can Cement Go Green? Inside the Global Push for Low-Carbon Alternatives,Cement Go Green? Inside Global Push Low-Carbon Alternatives
World’s first Low Carbon Ratings system for Cement and Concrete launches,World’s first Low Carbon Ratings system Cement Concrete launches
"Thomas Beton delivers 3,540 m³ of low-carbon concrete for logistics facility in Hamburg","Thomas Beton delivers 3,540 m³ low-carbon concrete logistics facility Hamburg"
SCG targets low-carbon cement with B1bn funding,SCG targets low-carbon cement B1bn funding
Holcim North America recognised by Slag Cement Association,Holcim North America recognised Slag Cement Association
Vertua low-carbon concrete plays a big role in Houston Methodist expansion,Vertua low-carbon concrete plays big role Houston Methodist expansion
Specialists highlight new innovations during carbon concrete symposium,Specialists highlight new innovations carbon concrete symposium
"Eco Material Opening Queens Terminal to Bring 50,000 Tons of Low Carbon Cement Replacement Products Into New York City Metro Annually","Eco Material Opening Queens Terminal Bring 50,000 Tons Low Carbon Cement Replacement Products New York City Metro Annually"
"‘Climate action is part of competitiveness,’ advises Cement Association of Canada expert","‘Climate action part competitiveness,’ advises Cement Association Canada expert"
Family-run recycling firm unveils £1m low carbon concrete plant which will contribute to a “greener future”,Family-run recycling firm unveils £1m low carbon concrete plant contribute “greener future”
Greener and Cleaner: Low Carbon Concrete,Greener Cleaner: Low Carbon Concrete
Scott Bros unveils £1m low carbon concrete plant on Teesside,Scott Bros unveils £1m low carbon concrete plant Teesside
"First Low-Carbon Ratings for Cement, Concrete Debut","First Low-Carbon Ratings Cement, Concrete Debut"
Clean the Sky - Low-Carbon Construction Technologies,Clean Sky - Low-Carbon Construction Technologies
‘Green metals premium’ and low-carbon cement ratings system to support industrial decarbonisation,‘Green metals premium’ low-carbon cement ratings system support industrial decarbonisation
GCCA introduces global Low Carbon Ratings system for cement and concrete,GCCA introduces global Low Carbon Ratings system cement concrete
‘First of its kind’ low carbon and cement ratings system launched,‘First kind’ low carbon cement ratings system launched
World’s first low-carbon concrete rating system launched,World’s first low-carbon concrete rating system launched
Scott Bros unveils lower carbon concrete plant,Scott Bros unveils lower carbon concrete plant
American Concrete Institute Launches ACI 323 Plus — Digital Subscription to Low-Carbon Concrete Code,American Concrete Institute Launches ACI 323 Plus — Digital Subscription Low-Carbon Concrete Code
Recycled Concrete Powder Offers Viable Low-Carbon Alternative for 3D Printed Cement Mixes,Recycled Concrete Powder Offers Viable Low-Carbon Alternative 3D Printed Cement Mixes
Scott Bros unveils £1m low carbon concrete plant,Scott Bros unveils £1m low carbon concrete plant
"Cement is a climate menace. Under Trump, fixing it just got harder.","Cement climate menace. Trump, fixing got harder."
Green Concrete and Lowering Carbon Emissions,Green Concrete Lowering Carbon Emissions
Clean the Sky - Zero-Emission Construction Materials,Clean Sky - Zero-Emission Construction Materials
NEUF’s Sustainability Department Unveils Low-Carbon Brick,NEUF’s Sustainability Department Unveils Low-Carbon Brick
Titan America Wins Industry Award for Low Carbon Concrete Project at Marine Terminal in Chesapeake,Titan America Wins Industry Award Low Carbon Concrete Project Marine Terminal Chesapeake
A winning foundation: Solid defense with low carbon concrete,winning foundation: Solid defense low carbon concrete
Towards low-carbon low-energy concrete alternatives: Life cycle assessment of carbonated cementitious material-based precast panels,Towards low-carbon low-energy concrete alternatives: Life cycle assessment carbonated cementitious material-based precast panels
TITAN and Ecocem Develop New Low-Carbon Cement,TITAN Ecocem Develop New Low-Carbon Cement
Data driven multi-objective design for low-carbon self-compacting concrete considering durability,Data driven multi-objective design low-carbon self-compacting concrete considering durability
Bipartisan bill to boost green building materials glides through House,Bipartisan bill boost green building materials glides House
"Yes, there’s a low-carbon cement","Yes, there’s low-carbon cement"
Green360 Technologies commissions stage 1 upgrade for low carbon concrete demonstration plant,Green360 Technologies commissions stage 1 upgrade low carbon concrete demonstration plant
Holcim US Recognized with NRMCA Concrete Innovations Award for Innovative Carbon Reduction Strategies,Holcim US Recognized NRMCA Concrete Innovations Award Innovative Carbon Reduction Strategies
GGBS EPD provides clarity on environmental performance,GGBS EPD provides clarity environmental performance
Thomas Concrete Group celebrates 70 years – continues driving the development of low-carbon concrete,Thomas Concrete Group celebrates 70 years – continues driving development low-carbon concrete
Candidate of Low Carbon Economy Concrete: Reinforcing Recycled Concrete via Hybrid Fibers,Candidate Low Carbon Economy Concrete: Reinforcing Recycled Concrete via Hybrid Fibers
"ปูนอินทรี จัดแข่ง ""INSEE Low Carbon Concrete Competition 2025"" แนะคนรุ่นใหม่ใช้ปูนคาร์บอนต่ำ","ปูนอินทรี จัดแข่ง ""INSEE Low Carbon Concrete Competition 2025"" แนะคนรุ่นใหม่ใช้ปูนคาร์บอนต่ำ"
Reducing the Environmental Impact of Concrete for Sustainable Construction,Reducing Environmental Impact Concrete Sustainable Construction
Recycled Cements Reduce Emissions Without Slacking on Strength,Recycled Cements Reduce Emissions Without Slacking Strength
New cement recycling method could cut construction emissions by 61%,New cement recycling method could cut construction emissions 61%
Recycled cements drive down emissions without slacking on strength,Recycled cements drive emissions without slacking strength
Simpson University breaks ground on eco-friendly facility with low-carbon cement,Simpson University breaks ground eco-friendly facility low-carbon cement
Scaling Up Low Carbon Cement,Scaling Low Carbon Cement
Colorado low-carbon cement company raises $82 million,Colorado low-carbon cement company raises $82 million
Sisk achieves 70% carbon savings in low-carbon concrete tech trial,Sisk achieves 70% carbon savings low-carbon concrete tech trial
Capital Concrete support first use of Re-ment,Capital Concrete support first use Re-ment
"GORD, American Concrete Institute collaborate on low-carbon concrete solutions","GORD, American Concrete Institute collaborate low-carbon concrete solutions"
"Qatar: GORD, ACI to collaborate on low-carbon concrete solutions","Qatar: GORD, ACI collaborate low-carbon concrete solutions"
Wembley concrete trials shows 70% carbon savings,Wembley concrete trials shows 70% carbon savings
Why a code to reduce the carbon in concrete is important,code reduce carbon concrete important
Low-carbon concrete tech testing at Wembley Park 'a success',Low-carbon concrete tech testing Wembley Park 'a success'
Spotlight: Low-carbon concrete for the built environment,Spotlight: Low-carbon concrete built environment
Sisk completes low-carbon technology testing at Quintain’s Wembley Park,Sisk completes low-carbon technology testing Quintain’s Wembley Park
Sisk completes testing with Ecocem low-carbon concrete technology at Wembley Park,Sisk completes testing Ecocem low-carbon concrete technology Wembley Park
Holcim’s new low carbon concrete reduces embodied carbon in buildings,Holcim’s new low carbon concrete reduces embodied carbon buildings
Cemvision enters partnership for low-carbon cement,Cemvision enters partnership low-carbon cement
Low-carbon cement joint venture signs MoU with renewables developer,Low-carbon cement joint venture signs MoU renewables developer
Low carbon concrete disrupter Suvo enters MoU with wind development company,Low carbon concrete disrupter Suvo enters MoU wind development company
"Concrete Supplier Ozinga Creates Mission Critical Facilities Team for Data Center, Tech Projects","Concrete Supplier Ozinga Creates Mission Critical Facilities Team Data Center, Tech Projects"
Suvo cements deal with WA wind farmer to supply low-carbon concrete,Suvo cements deal WA wind farmer supply low-carbon concrete
Advance Market Commitment Policy Brief,Advance Market Commitment Policy Brief
Global Cement and Concrete Association launches Innovandi Open Challenge 2025 for low-carbon concrete,Global Cement Concrete Association launches Innovandi Open Challenge 2025 low-carbon concrete
Terra CO2 Raises $82 Million to Scale Low Carbon Cement Technology,Terra CO2 Raises $82 Million Scale Low Carbon Cement Technology
Eco-friendly and ‘fast’ concrete put to the test,Eco-friendly ‘fast’ concrete put test
"Novel non-conventional raw materials as supplementary cementitious materials for low-carbon composite cement: Chemical reactivity, fresh and hardened state characterization","Novel non-conventional raw materials supplementary cementitious materials low-carbon composite cement: Chemical reactivity, fresh hardened state characterization"
Low-carbon concrete is at a tipping point,Low-carbon concrete tipping point
"CarbiCrete, Canal Block team to bring low-carbon concrete to Ontario","CarbiCrete, Canal Block team bring low-carbon concrete Ontario"
Low Carbon Cassettes,Low Carbon Cassettes
Carbon Capture & Utilization Pioneer Blue Planet Announces World's First Net Zero Concrete Placement Using Synthetic Limestone Aggregate,Carbon Capture & Utilization Pioneer Blue Planet Announces World's First Net Zero Concrete Placement Using Synthetic Limestone Aggregate
Disparities in low-carbon concrete GWP at the metropolitan level in the United States,Disparities low-carbon concrete GWP metropolitan level United States
Memorandum of Understanding with Fortera Corporation for the Project Feasibility Study of a Low-Carbon Cement Production,Memorandum Understanding Fortera Corporation Project Feasibility Study Low-Carbon Cement Production
Cellular concrete may be a viable low-carbon alternative to traditional concrete for earthquake-resistant structures,Cellular concrete may viable low-carbon alternative traditional concrete earthquake-resistant structures
CarbonBuilt Acquires Jolley Concrete and Block,CarbonBuilt Acquires Jolley Concrete Block
AWS pledges to use low-carbon concrete for future Japanese data centers,AWS pledges use low-carbon concrete future Japanese data centers
German carbon capture startup produces first batch of DAC concrete,German carbon capture startup produces first batch DAC concrete
FEATURE: Roll call of registries offering methods that utilise low-carbon concrete,FEATURE: Roll call registries offering methods utilise low-carbon concrete
"TCMA joins Saraburi Province to mark one year anniversary of progress ""SARABURI SANDBOX"" Thailand’s first low-carbon city","TCMA joins Saraburi Province mark one year anniversary progress ""SARABURI SANDBOX"" Thailand’s first low-carbon city"
Chasing Automation and Lower Carbon at World of Concrete 2025,Chasing Automation Lower Carbon World Concrete 2025
"Record $371.9M Raised for Low-Carbon Cement in 2024, But $20B Needed by 2030","Record $371.9M Raised Low-Carbon Cement 2024, $20B Needed 2030"
CEMCOR Completes Trials On UK First Low Carbon Cement Product,CEMCOR Completes Trials UK First Low Carbon Cement Product
Cemcor unveils low-carbon cement substitute,Cemcor unveils low-carbon cement substitute
Low-carbon cement makes UK site debut,Low-carbon cement makes UK site debut
Swedish low-carbon cement makes UK debut as first step in ‘strategic expansion’,Swedish low-carbon cement makes UK debut first step ‘strategic expansion’
Trump rescinds federal program to boost low-carbon building materials,Trump rescinds federal program boost low-carbon building materials
Taking 3D printed construction to the next low-carbon level,Taking 3D printed construction next low-carbon level
Cemvision deploys low-carbon cement at UK’s Sunbury STOREX site,Cemvision deploys low-carbon cement UK’s Sunbury STOREX site
Cemvision launches low-carbon cement at a Sunbury development of STOREX Self Storage,Cemvision launches low-carbon cement Sunbury development STOREX Self Storage
Cement has an emissions problem. Can tech that mimics coral fix it?,Cement emissions problem. tech mimics coral fix it?
Innovative PVC Recycling in Low Carbon Concrete,Innovative PVC Recycling Low Carbon Concrete
Bouygues agrees to use low-carbon cement brand after testing it,Bouygues agrees use low-carbon cement brand testing
Bouygues Construction partners with Ecocem to test low-carbon cement technology,Bouygues Construction partners Ecocem test low-carbon cement technology
Optimization of low-carbon lightweight foamed concrete using ground circulating fluidized bed fly ash,Optimization low-carbon lightweight foamed concrete using ground circulating fluidized bed fly ash
EllisDon completes first pour with graphene-enhanced concrete,EllisDon completes first pour graphene-enhanced concrete
Green cement: Low-carbon alternative materials for cement production,Green cement: Low-carbon alternative materials cement production
GCCA introduces international definitions for low-carbon cement and concrete at COP29,GCCA introduces international definitions low-carbon cement concrete COP29
Thai firms partner to launch innovative low-carbon concrete,Thai firms partner launch innovative low-carbon concrete
Demand For Low-Carbon Cement Is On The Rise,Demand Low-Carbon Cement Rise
Ecocem Cements Position as Low-Carbon Leader,Ecocem Cements Position Low-Carbon Leader
"How net-zero emissions are being achieved in cement, concrete industries","net-zero emissions achieved cement, concrete industries"
North Wales firms pioneer low-carbon push to become 'green hub',North Wales firms pioneer low-carbon push become 'green hub'
Fortera Forges Partnership With Sumitomo To Launch Low-Carbon Cement Tech In Asia,Fortera Forges Partnership Sumitomo Launch Low-Carbon Cement Tech Asia
The Business Case for LC3,Business Case LC3
Fortera and Sumitomo Corporation join forces to bring low-carbon cement technology to Asia,Fortera Sumitomo Corporation join forces bring low-carbon cement technology Asia
Low-carbon cement production to begin at new Welsh plant,Low-carbon cement production begin new Welsh plant
Aecon Collaborates with CarbiCrete and Lafarge Canada to Construct Low Carbon Building in Ontario,Aecon Collaborates CarbiCrete Lafarge Canada Construct Low Carbon Building Ontario
"Innovate, collaborate, scale: Inside Amazon’s approach to decarbonising its global network of buildings","Innovate, collaborate, scale: Inside Amazon’s approach decarbonising global network buildings"
Introducing the Clean Concrete Pledge Initiative to Decarbonize the U.S. Concrete and Cement Industry,Introducing Clean Concrete Pledge Initiative Decarbonize U.S. Concrete Cement Industry
SCG Partners with SIIT to Pilot Cement-Free Low-Carbon Concrete Project,SCG Partners SIIT Pilot Cement-Free Low-Carbon Concrete Project
Fortera and Sumitomo Corporation Join Forces to Bring Low-Carbon Cement Technology to Asia,Fortera Sumitomo Corporation Join Forces Bring Low-Carbon Cement Technology Asia
"CarbiCrete, Aecon and Lafarge Canada to construct low carbon building in Ontario","CarbiCrete, Aecon Lafarge Canada construct low carbon building Ontario"
Guidance for Developing Performance Standards and Specifications for Concrete,Guidance Developing Performance Standards Specifications Concrete
SCG partners with SIIT to pilot Cement-Free Low-Carbon Concrete Project,SCG partners SIIT pilot Cement-Free Low-Carbon Concrete Project
UK’s first ultra-low carbon cement production plant launches in Wrexham,UK’s first ultra-low carbon cement production plant launches Wrexham
Impact of Decarbonization on the Outlook for Cement,Impact Decarbonization Outlook Cement
evoBuild low-carbon concrete,evoBuild low-carbon concrete
CarbiCrete and Meta Team up to accelerate low carbon concrete,CarbiCrete Meta Team accelerate low carbon concrete
Meta Backs Low-CO2 Concrete Production In New Collaboration With CarbiCrete,Meta Backs Low-CO2 Concrete Production New Collaboration CarbiCrete
Low carbon cement innovator Fortera and green concrete.,Low carbon cement innovator Fortera green concrete.
CarbiCrete and Meta Team up to Accelerate Low Carbon Concrete,CarbiCrete Meta Team Accelerate Low Carbon Concrete
Why pricing carbon dioxide by source can create a new market for clean manufacturing,pricing carbon dioxide source create new market clean manufacturing
CarbiCrete Collaborates with Aecon and Lafarge Canada to Construct Low Carbon Building in Ontario,CarbiCrete Collaborates Aecon Lafarge Canada Construct Low Carbon Building Ontario
Material Evolution announces ultra-low carbon cement plant is now operational,Material Evolution announces ultra-low carbon cement plant operational
Material Evolution launches ‘ultra-low carbon’ cement plant in Wrexham,Material Evolution launches ‘ultra-low carbon’ cement plant Wrexham
UK’s Largest Ultra-Low Carbon Cement Plant Launches in Wrexham,UK’s Largest Ultra-Low Carbon Cement Plant Launches Wrexham
UK’s largest ultra-low carbon cement plant opens in Wrexham,UK’s largest ultra-low carbon cement plant opens Wrexham
Sustainable by design: Advancing low carbon materials,Sustainable design: Advancing low carbon materials
Recycl8 joins Low Carbon Concrete Collective,Recycl8 joins Low Carbon Concrete Collective
UK’s largest ultra-low carbon cement plant opens in Wales,UK’s largest ultra-low carbon cement plant opens Wales
Suvo lands Victorian offer to field trial low carbon cement,Suvo lands Victorian offer field trial low carbon cement
Influence of steel-to-concrete ratio on sustainable column design in Saudi Arabia,Influence steel-to-concrete ratio sustainable column design Saudi Arabia
CEM VI concrete trials undertaken at Canary Wharf to drive down embodied carbon,CEM VI concrete trials undertaken Canary Wharf drive embodied carbon
"Definitions of low-carbon concrete announced at COP29 to ""bring transparency and trust""","Definitions low-carbon concrete announced COP29 ""bring transparency trust"""
Climate tech startup Kapture successfully embeds carbon emissions in concrete,Climate tech startup Kapture successfully embeds carbon emissions concrete
Portland Cement Association releases guidelines for lower carbon concrete,Portland Cement Association releases guidelines lower carbon concrete
New Low-Carbon Concrete Outperforms Today’s Highway Material While Cutting Costs in Minnesota,New Low-Carbon Concrete Outperforms Today’s Highway Material Cutting Costs Minnesota
Cairn pioneers the usage of low-carbon concrete for a Victorian house renovation,Cairn pioneers usage low-carbon concrete Victorian house renovation
PCA fills low-carbon cement and concrete guidance void,PCA fills low-carbon cement concrete guidance void
International definitions produced for low carbon cement and concrete,International definitions produced low carbon cement concrete
Taiwan Cement Corporation launches Low Carbon Construction Pioneer Alliance,Taiwan Cement Corporation launches Low Carbon Construction Pioneer Alliance
Study shows low-carbon concrete is 30% stronger than existing roadways,Study shows low-carbon concrete 30% stronger existing roadways
Taiwan Cement forms 'Low Carbon Building Alliance’,Taiwan Cement forms 'Low Carbon Building Alliance’
COP29: International definitions for low carbon cement and concrete launched to fast-track green procurement of essential building materials,COP29: International definitions low carbon cement concrete launched fast-track green procurement essential building materials
Opening Early Market for Low-Carbon Building Materials in China,Opening Early Market Low-Carbon Building Materials China
39 State DOTs Secure $1.2 Billion for Low-carbon Materials,39 State DOTs Secure $1.2 Billion Low-carbon Materials
Betolar and Saudi Readymix unveil low-carbon concrete formulations,Betolar Saudi Readymix unveil low-carbon concrete formulations
Lotte E&C develops low-carbon cement construction,Lotte E&C develops low-carbon cement construction
"Carbon Upcycling, Minnesota DOT and National Road Research Alliance Joint Study Shows High-Performance Low-Carbon Concrete is 30% Stronger than Existing Roadways","Carbon Upcycling, Minnesota DOT National Road Research Alliance Joint Study Shows High-Performance Low-Carbon Concrete 30% Stronger Existing Roadways"
"Saudi Readymix, Betolar to develop low-carbon concrete solutions","Saudi Readymix, Betolar develop low-carbon concrete solutions"
American Concrete Institute releases code requirements for low-carbon concrete,American Concrete Institute releases code requirements low-carbon concrete
Greenwashing or Groundbreaking? The realities of low carbon cement,Greenwashing Groundbreaking? realities low carbon cement
"Government Incentives for Low Carbon Construction Materials Are Great, but Not Enough","Government Incentives Low Carbon Construction Materials Great, Enough"
TITAN Group and Ecocem to partner for the development of new low-carbon cements in Europe,TITAN Group Ecocem partner development new low-carbon cements Europe
This Boston Start-up Has a Recipe for Low-Carbon Cement,Boston Start-up Recipe Low-Carbon Cement
How the European cement industry can become competitive and clean,European cement industry become competitive clean
The changing face of low-carbon concrete investment,changing face low-carbon concrete investment
Techrete launches low carbon concrete range,Techrete launches low carbon concrete range
New Techrete concrete range cuts carbon emissions by 50%,New Techrete concrete range cuts carbon emissions 50%
ACI 323 Releases Code for Low-Carbon Concrete,ACI 323 Releases Code Low-Carbon Concrete
Lendlease charts a clear path through the complexity of decarbonisation,Lendlease charts clear path complexity decarbonisation
The concrete problem,concrete problem
Justifying the cost of low-carbon steel and concrete construction,Justifying cost low-carbon steel concrete construction
"Microsoft Replacing Steel, Concrete in New Datacenters with Wood to Cut Carbon Emissions","Microsoft Replacing Steel, Concrete New Datacenters Wood Cut Carbon Emissions"
Reinventing the world’s favorite building material,Reinventing world’s favorite building material
